ref;method;size;mean;median;minimum;maximum
1000;classicBP;10;8.723966666666666e-6;7.129333333333333e-6;6.830833333333333e-6;1.51445e-5
1000;quaternionBP;10;6.447375e-6;5.567625000000001e-6;5.45e-6;9.96725e-6
1000;classicBP;100;0.0002472818;0.000198314;0.00017943600000000002;0.00044289000000000004
1000;quaternionBP;100;0.0002118734;0.000169855;0.00014970600000000002;0.00039879700000000005
1000;classicBP;200;0.0011295984;0.000987884;0.0009480770000000001;0.001744015
1000;quaternionBP;200;0.0009777406;0.0008333660000000001;0.0008167890000000001;0.0015807920000000001
1000;classicBP;300;0.0019180618000000003;0.001596063;0.001421425;0.002775754
1000;quaternionBP;300;0.0018296172;0.001511175;0.0012754420000000001;0.0028113110000000004
1000;classicBP;400;0.014318038400000002;0.013771852000000001;0.013730544;0.016254767
1000;quaternionBP;400;0.012967999400000001;0.012446073;0.012361321000000002;0.015041106
1000;classicBP;500;0.0065304792000000006;0.006359328;0.005956726000000001;0.007339864000000001
1000;quaternionBP;500;0.006291538400000001;0.006108269;0.005674821;0.007131778
1000;classicBP;600;0.009212975;0.009108199;0.008853303;0.009831542
1000;quaternionBP;600;0.008844639800000002;0.008691166;0.00844838;0.009528585000000001
1000;classicBP;700;0.0164535962;0.016002198000000002;0.015742108;0.018373118
1000;quaternionBP;700;0.015592662800000002;0.015051164;0.014818711000000002;0.017711773
1000;classicBP;800;0.016989983;0.016611559;0.016406786;0.018385537
1000;quaternionBP;800;0.0160122406;0.015595668000000002;0.015420726000000001;0.017681297000000002
1000;classicBP;900;0.04832664820000001;0.047706329000000006;0.047525656000000006;0.050899177000000004
1000;quaternionBP;900;0.0462677188;0.045513193;0.045397446;0.049130906
1000;classicBP;1000;0.0038492802000000006;0.0034359940000000004;0.003383689;0.0052973460000000005
1000;quaternionBP;1000;0.003478871;0.003033876;0.002999175;0.004932924
1000;classicBP;2000;0.002190009;0.001965244;0.001866908;0.0032666740000000002
1000;quaternionBP;2000;0.0019404532;0.001664487;0.0016393660000000002;0.0029282
1000;classicBP;3000;0.0267765592;0.026413123;0.026294057000000003;0.028394542000000002
1000;quaternionBP;3000;0.0255026534;0.025070582;0.024991952;0.027298097
