ref;method;size;mean;median;minimum;maximum;samples;memory;allocs;gcmean;gcmedian;gcminimum;gcmaximum
300;classicBP;10;3.90453102e-6;3.09e-6;2.858e-6;0.0049548380000000005;100000;9120;78;6.4737653e-7;0.0;0.0;0.004937045
300;quaternionBP;10;3.35858112e-6;2.5400000000000002e-6;2.364e-6;0.0062797980000000005;100000;6512;77;6.748933e-7;0.0;0.0;0.006264380000000001
300;classicBP;100;0.00010221035174;9.79425e-5;9.5301e-5;0.0044948950000000005;100000;79136;456;3.56041365e-6;0.0;0.0;0.004074269
300;quaternionBP;100;9.236364029e-5;8.834600000000001e-5;8.6e-5;0.005768853;100000;47728;455;3.33149369e-6;0.0;0.0;0.005241436
300;classicBP;200;0.0003844781507;0.000375127;0.000365335;0.004873499;100000;157120;862;7.3974084500000005e-6;0.0;0.0;0.00410131
300;quaternionBP;200;0.00036237465100000005;0.000354156;0.00034395400000000005;0.005720628;100000;93712;861;6.657783540000001e-6;0.0;0.0;0.005291700000000001
300;classicBP;300;0.00155355549802;0.001538934;0.001516622;0.006236335;100000;259360;1268;1.137650317e-5;0.0;0.0;0.004153183
300;quaternionBP;300;0.0015225200500800001;0.0015083890000000002;0.001482753;0.007418205000000001;100000;163952;1267;1.0794594250000001e-5;0.0;0.0;0.005304354000000001
300;classicBP;400;0.00223005365691;0.0022115355000000003;0.0021693850000000002;0.00688815;100000;312096;1668;1.389333237e-5;0.0;0.0;0.004214694000000001
300;quaternionBP;400;0.0021861758772800002;0.002170285;0.002129695;0.008249541;100000;184688;1667;1.1774007640000001e-5;0.0;0.0;0.005366535
300;classicBP;500;0.003216667494620767;0.0031958980000000004;0.0031550140000000003;0.007890011;93043;364960;2068;1.6263274883655944e-5;0.0;0.0;0.004265229000000001
300;quaternionBP;500;0.003158064246370236;0.0031414480000000002;0.003096208;0.008986549;94772;205552;2067;1.2621593445321404e-5;0.0;0.0;0.005243146000000001
300;classicBP;600;0.004616406784515055;0.00459004;0.004527586;0.009511494;64863;420544;2646;1.927109290350431e-5;0.0;0.0;0.004378515
300;quaternionBP;600;0.00454268997660588;0.0045226655;0.0044570370000000005;0.010505210000000001;65914;229136;2645;1.4013857860242133e-5;0.0;0.0;0.005322262
300;classicBP;700;0.005888046755838642;0.005857434000000001;0.005771831000000001;0.011086871;50868;476608;3246;2.2209284913894788e-5;0.0;0.0;0.004553245
300;quaternionBP;700;0.005793037566673115;0.005771437000000001;0.005674248000000001;0.011818825000000002;51700;253200;3245;1.542193941972921e-5;0.0;0.0;0.005392352
300;classicBP;800;0.00723815915847087;0.007197520000000001;0.0070858380000000006;0.012685821000000002;41383;532544;3846;2.5230713022255517e-5;0.0;0.0;0.0046814280000000005
300;quaternionBP;800;0.007129452962037368;0.007100675000000001;0.0069862610000000006;0.013728508;42015;277136;3845;1.6952553159585865e-5;0.0;0.0;0.005585625
300;classicBP;900;0.008582540227888721;0.008537757;0.008407125;0.014143952000000001;34903;588608;4446;2.827434764919921e-5;0.0;0.0;0.004793676
300;quaternionBP;900;0.008466169286651027;0.008427043;0.0082923;0.014966454;35381;301200;4445;1.8273334331986096e-5;0.0;0.0;0.005684756
300;classicBP;1000;0.010277264708709224;0.010235121;0.010085222000000001;0.01583073;29153;644544;5046;3.096236678900971e-5;0.0;0.0;0.004973721
300;quaternionBP;1000;0.010147621317222693;0.010119155000000001;0.009957511;0.016414093;29525;325136;5045;1.956819796782388e-5;0.0;0.0;0.005814865000000001
300;classicBP;2000;0.02341301780518669;0.0232324775;0.022900322;0.032372951000000004;12802;1204544;11046;9.424235596000625e-5;0.0;0.0;0.008453428
300;quaternionBP;2000;0.023060790699107554;0.0230052445;0.022696671;0.030411970000000003;12998;565136;11045;3.419730227727343e-5;0.0;0.0;0.006712503000000001
300;classicBP;3000;0.038812087619676375;0.038542421;0.037932882;0.050807548;7725;1764448;17048;0.00016811534588996764;0.0;0.0;0.011686377000000001
300;quaternionBP;3000;0.03804377926417967;0.037942805;0.037432414000000004;0.049046756000000004;7881;805040;17047;6.477586955970055e-5;0.0;0.0;0.010453231
