ref;method;size;mean;median;minimum;maximum;samples
500;classicBP;10;4.717460000000001e-6;4.593e-6;2.889e-6;1.6376e-5;1000
500;quaternionBP;10;2.9006000000000002e-6;2.6140000000000003e-6;2.346e-6;1.7202000000000002e-5;1000
500;classicBP;100;0.000126090457;0.0001272815;0.00010511500000000001;0.004200473000000001;1000
500;quaternionBP;100;0.00011352936500000001;0.00010573700000000001;9.8292e-5;0.006327743;1000
500;classicBP;200;0.00039696448100000006;0.000372663;0.00036104700000000003;0.005158898;1000
500;quaternionBP;200;0.00035697447;0.00034800850000000003;0.000338191;0.005328619000000001;1000
500;classicBP;300;0.0008564344360000001;0.0008153855;0.0007918510000000001;0.004543388000000001;1000
500;quaternionBP;300;0.0008390162340000001;0.0007838175000000001;0.0007568680000000001;0.006704848;1000
500;classicBP;400;0.001657666701;0.0015959490000000002;0.001523012;0.005373673000000001;1000
500;quaternionBP;400;0.0016688388970000003;0.0015552410000000002;0.0014739920000000001;0.007839704000000001;1000
500;classicBP;500;0.0028623571960000004;0.0027694835000000003;0.0025348140000000003;0.006808697000000001;1000
500;quaternionBP;500;0.0027497735850000003;0.0026457440000000002;0.002455231;0.008349808;1000
500;classicBP;600;0.005215199163;0.0051737810000000006;0.004920968;0.009332738;1000
500;quaternionBP;600;0.0050910671820000005;0.005067141000000001;0.004830589000000001;0.010534832000000001;1000
500;classicBP;700;0.008158990548000001;0.0081261855;0.007933299000000001;0.012234313;1000
500;quaternionBP;700;0.008039195242;0.0080089765;0.00781709;0.01326973;1000
500;classicBP;800;0.010870638979000001;0.010846865;0.010262937000000001;0.017068037;1000
500;quaternionBP;800;0.010410921293000001;0.010375636;0.010243085;0.015349007000000001;1000
500;classicBP;900;0.013851918555;0.0137459265;0.013609835;0.019408757000000002;1000
500;quaternionBP;900;0.013678890225;0.013625566;0.013362128000000001;0.018923634;1000
500;classicBP;1000;0.016784614909000004;0.016695433500000002;0.016558149;0.022563157;1000
500;quaternionBP;1000;0.016675075579;0.0165952135;0.016447294;0.025377087000000003;1000
