problem,count_atoms,solutions_classic,solutions_quaternion,MDE_classic,MDE_quaternion,minRMSDclassic,argminRMSDclassic,minRMSDquaternion,argminRMSDquaternion,samples_classic,samples_quaternion,memory_classic,memory_quaternion,allocs_classic,allocs_quaternion,time_classic(mean),time_quaternion(mean),gctime_classic(mean),gctime_quaternion(mean),time_classic(median),time_quaternion(median),gctime_classic(median),gctime_quaternion(median),time_classic(minimum),time_quaternion(minimum),gctime_classic(minimum),gctime_quaternion(minimum),time_classic(maxium),time_quaternion(maxium),gctime_classic(maximum),gctime_quaternion(maximum)
pdb1a57,698,8,8,2.0963731057207827e-11,2.0915885960458803e-11,3.1805714313642905e-11,5,3.355011835539362e-11,5,72319,89836,8037456,4033104,36959,43825,0.004139264597823532,0.0033323817455919677,0.0002635771059334338,0.00023543554290039628,0.0038598990000000004,0.0030950355,0.0,0.0,0.0038137410000000003,0.003010319,0.0,0.0,0.008270461,0.008342078000000001,0.003139686,0.00432754
pdb1b4c,1108,8,8,5.066600244931018e-13,5.492896580567682e-13,2.6823563709731513e-12,5,3.466246068090878e-12,5,27724,38049,21242544,9213552,128237,149023,0.010804639006023662,0.007872636748534785,0.0007803870759269947,0.0005924818796026177,0.0100997905,0.007309215000000001,0.0,0.0,0.009873655,0.007110459,0.0,0.0,0.017460143,0.01491013,0.0,0.0030706740000000002
pdb1ba5,320,8,8,9.362814177378705e-13,1.0694516852065802e-12,0.03562122606785058,6,0.03562122606839002,6,100000,100000,2663152,1524592,10765,12735,0.00135221825205,0.00113371365855,8.953250936e-5,8.958590309000002e-5,0.001251231,0.0010355725,0.0,0.0,0.0012234560000000002,0.001001037,0.0,0.0,0.0047647720000000005,0.005672146,0.003159359,0.004246809000000001
pdb1d1n,594,2,2,1.0054124213067224e-11,9.672359917996517e-12,2.976648922059798e-11,1,2.931090541331778e-11,1,100000,100000,3464848,1405328,17987,21517,0.0018975189887000003,0.0014572947711,0.00010724129981,8.236945795000001e-5,0.001779998,0.0013700755,0.0,0.0,0.001753372,0.0013320390000000001,0.0,0.0,0.005432796,0.006123064,0.002629597,0.004249226
pdb1dp3,332,8,8,7.70447428731552e-13,8.940016916631726e-13,4.9981266164532324e-5,2,4.998126656766043e-5,2,100000,100000,2696592,1554928,10959,12911,0.0013627516593,0.00114879428609,9.141343505e-5,9.168817481e-5,0.0012595850000000001,0.0010487135000000001,0.0,0.0,0.0012285290000000001,0.001014343,0.0,0.0,0.0052435400000000005,0.005732425,0.0031115530000000004,0.004267538
pdb1du1,122,8,8,8.225439703791088e-13,1.2580133162652293e-12,6.659982736948688e-13,1,1.657727604571587e-12,1,100000,100000,967280,560336,3941,4633,0.00047825655368000005,0.00040760460591,3.290363438000001e-5,3.480860803e-5,0.00043914500000000005,0.000366379,0.0,0.0,0.00042890900000000005,0.000357503,0.0,0.0,0.00411232,0.005188444,0.003217451,0.004420808
pdb1eii,806,8,8,1.393137514555385e-11,1.3650801176204623e-11,1.9451454139364058e-10,1,1.8740239052085673e-10,1,84759,100000,6767856,3946832,31237,36069,0.0035304200422845954,0.0029905454631800003,0.0002384636415601883,0.00022979122921000002,0.0032821060000000003,0.0027600990000000002,0.0,0.0,0.003222253,0.002660383,0.0,0.0,0.007650241,0.007897313000000001,0.0032611360000000004,0.0043689490000000004
pdb1fcl,338,8,8,4.542066758429423e-12,4.515216006248563e-12,1.544744592937249e-11,2,1.522292905165004e-11,2,100000,100000,2781744,1616496,11209,13203,0.00142934144782,0.0012309410449800001,9.262780386e-5,9.450109916e-5,0.001323877,0.0011250505,0.0,0.0,0.0012997540000000002,0.001096825,0.0,0.0,0.005160574,0.005788359000000001,0.003157107,0.004223237
pdb1fd6,344,8,8,3.1821354107796035e-12,3.1934243383596083e-12,2.0241674067433718e-5,2,2.0241674156104725e-5,2,100000,100000,2826064,1642416,11423,13447,0.00146346725485,0.0012513970247500002,9.506273379e-5,9.617066201000001e-5,0.001355719,0.0011436970000000002,0.0,0.0,0.001326104,0.001108484,0.0,0.0,0.004908175000000001,0.005801209000000001,0.0031328190000000002,0.004281808000000001
pdb1i2u,266,8,8,5.561805175247078e-13,5.609258050158648e-13,0.0013842179838100524,2,0.0013842179836625764,2,100000,100000,2185744,1274992,8659,10215,0.0011395168930899999,0.00099129888745,7.46748014e-5,7.642914303000002e-5,0.001055006,0.0009080015,0.0,0.0,0.001027955,0.000874834,0.0,0.0,0.004888784,0.005598147,0.003150766,0.004274296
