problem,count_atoms,solutions_classic,solutions_quaternion,MDE_classic,MDE_quaternion,minRMSDclassic,argminRMSDclassic,minRMSDquaternion,argminRMSDquaternion,samples_classic,samples_quaternion,memory_classic,memory_quaternion,allocs_classic,allocs_quaternion,time_classic(mean),time_quaternion(mean),gctime_classic(mean),gctime_quaternion(mean),time_classic(median),time_quaternion(median),gctime_classic(median),gctime_quaternion(median),time_classic(minimum),time_quaternion(minimum),gctime_classic(minimum),gctime_quaternion(minimum),time_classic(maxium),time_quaternion(maxium),gctime_classic(maximum),gctime_quaternion(maximum)
pdb2k2f,1268,8,8,2.639357222181111e-13,2.8180438393632813e-13,1.2925742926791636e-11,1,1.295624358884795e-11,1,259,420,25503889168,7555166256,136697371,167499507,15.483197225104249,9.534510909590477,2.2170885192084944,0.6366943762880952,15.687346456,9.534997999,2.383401376,0.6560398775,13.458123569000001,9.275586748,0.793883694,0.45555130000000005,16.843921569000003,9.844954333,3.025778829,0.728315569
pdb2kbm,1268,8,8,2.1646206660742485e-13,2.2258441631581635e-13,1.5486720824370336e-12,2,1.686475859666116e-12,2,331,516,21685441584,6400413520,114083285,140368297,12.116822248728097,7.760585143910853,1.351200292876133,0.4994462016918605,12.158332902000001,7.765531211500001,1.428353836,0.5074729880000001,11.198282011,7.609447033,0.5920278720000001,0.37784689800000004,12.720739292000001,7.956884879,1.788923773,0.678959693
pdb2j10,752,1024,1024,9.195732766397894e-12,9.528950903890807e-12,2.9952125939740984e-5,574,2.9952126470538344e-5,574,7587,9504,565284112,396042576,2411793,2705791,0.5272248335708449,0.42088590565488215,0.2476353438763675,0.2018063955614478,0.5666930680000001,0.479019958,0.285385802,0.257416976,0.34623583500000005,0.29246282300000004,0.077323587,0.077792332,0.6066114840000001,0.49994183600000003,0.29928866200000004,0.26063589400000003
pdb2j11,752,1024,1024,5.256355555459571e-12,5.631250423472146e-12,2.7803056425848073e-11,549,2.7661042296577982e-11,549,7573,9475,561061264,393025392,2402361,2695157,0.5282007910319557,0.42214281866142483,0.24814007264769578,0.20234594411535622,0.568350894,0.48136790500000004,0.28551077,0.257618826,0.34627967800000004,0.293638456,0.077387615,0.077834365,0.610734112,0.501364019,0.29675227400000004,0.258506646
pdb2lwa,432,2048,2048,3.6160648962794586e-13,4.4360651858051554e-13,4.907798138362298e-12,449,4.081776009754176e-12,449,4042,5340,1104702352,592039280,5110425,5989781,0.9896542290749629,0.74907775635206,0.36697016231543794,0.34396325912883896,1.004167787,0.74914115,0.36827319550000004,0.3438392905,0.858269795,0.706577329,0.30753093400000003,0.276315034,1.2392738890000001,0.797701379,0.59435022,0.36357427000000003
pdb2j0z,752,8,8,4.392387953584101e-12,4.954031289901548e-12,1.310040828714634e-10,6,1.3115839436656365e-10,6,48422,81505,144680336,45595280,846999,1017157,0.08258700267079014,0.04905866260112877,0.008121992376151337,0.0030512174855407644,0.0753752095,0.049065418000000006,0.005880944000000001,0.003070225,0.07172468400000001,0.045776032,0.004368599,0.0,0.217077665,0.06370798100000001,0.119040908,0.004834062
pdb2adl,868,8,8,1.752115413205143e-11,1.787392906999098e-11,3.1161029958756845e-11,1,3.325455617351283e-11,1,100000,100000,16144720,6876304,87111,103349,0.00813950363353,0.005923049011380001,0.00057631980695,0.00046084681778,0.0075891415,0.005466168,0.0,0.0,0.007428588000000001,0.005332117,0.0,0.0,0.015484186,0.012163670000000001,0.003495302,0.0036516310000000002
pdb1pzr,724,8,8,5.643706563521268e-12,5.8713134051754505e-12,3.9939558546734626e-10,1,3.9046424275041455e-10,1,65731,94205,117547152,37546064,707515,844869,0.060834303459813485,0.04244348089806274,0.004325687464514461,0.0025498020061992463,0.060477077000000004,0.042970121,0.004226059,0.003109873,0.058614054000000006,0.039592988,0.002837927,0.0,0.191824073,0.054717026,0.11662580400000001,0.0031630760000000003
pdb2lzf,820,8,8,3.216941160598691e-14,3.959123259212857e-14,0.0005965291267825667,2,0.0005965291268446389,2,29894,47029,228083984,73099472,1509363,1775309,0.1337858248730849,0.08503482490025305,0.016225262674918046,0.0052659758342086796,0.132700525,0.08606145100000001,0.014948898,0.006476308,0.120499616,0.082156642,0.006650341000000001,0.003304918,0.26003312700000003,0.10783627400000001,0.120725281,0.007871969000000001
pdb2g9j,848,8,8,3.28213717818775e-12,3.535242395226987e-12,0.0005801087266704954,2,0.0005801087262750821,2,30835,50678,230744240,73793008,1338993,1654799,0.129700673448419,0.07891011461020561,0.014315711907442843,0.004889257516160859,0.125682651,0.0798009145,0.013062268,0.0059650605,0.117050473,0.076095905,0.007351730000000001,0.003046135,0.268983246,0.09340319200000001,0.12548230900000001,0.0060876820000000005
